                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4903,                0.98692,                 1.7656,                0.80088,                0.82363,                0.88667,                0.51308,                 1.5812,                 1.1415,                 1.7112,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.2842,                0.92442,                 1.3854,                0.69812,                0.98975,                  0.885,                0.54517,                 1.3984,                 1.1255,                 1.4192,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.2315,                 1.1661,                 1.6455,                0.96494,                0.88352,                 0.9675,                0.49647,                 1.6473,                0.90537,                 1.6709,               0.000948,               0.000948,               0.000948
                     37,                 1.5066,                 1.2973,                 1.6533,                0.96494,                0.88352,                 0.9675,                0.49647,                 1.6473,                0.90537,                 1.6709,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.2717,                0.95102,                 1.3579,                0.95747,                0.98211,                  0.995,                0.51791,                 1.6007,                0.86675,                 1.6821,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.1143,                0.78865,                 1.3434,                0.77488,                0.97303,                  0.907,                0.53374,                 1.5491,                0.92105,                 1.6145,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.3887,                 1.0281,                 1.6101,                0.94184,                0.87589,                 0.9675,                0.51164,                 1.6148,                0.93037,                 1.6799,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.2531,                0.78649,                  1.358,                0.94184,                0.87589,                 0.9675,                0.51164,                 1.6148,                0.93037,                 1.6799,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.4156,                0.85435,                  1.464,                0.83887,                0.81145,                0.90744,                0.53888,                 1.5604,                0.98603,                 1.6352,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.2679,                0.81793,                  1.376,                0.97344,                0.86635,                 0.8901,                0.55288,                 1.4708,                0.80718,                 1.4965,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.2322,                0.83823,                 1.4239,                0.87892,                 0.8561,                0.87053,                0.53412,                 1.4329,                0.94901,                  1.477,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.2072,                0.86086,                 1.3843,                0.87892,                 0.8561,                0.87053,                0.53412,                 1.4329,                0.94901,                  1.477,             0.00082067,             0.00082067,             0.00082067
                     46,                  1.182,                0.79684,                 1.3084,                0.65004,                0.58333,                 0.6243,                0.30009,                 2.0406,                 1.4415,                 2.0152,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.2451,                0.92561,                  1.464,                0.50454,                0.52778,                0.59408,                 0.2927,                 2.0945,                 1.9219,                 1.9986,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.1381,                 0.8792,                 1.3711,                0.83045,                0.63463,                0.82133,                0.42411,                 1.7336,                 1.6085,                 1.6157,             0.00077823,             0.00077823,             0.00077823
                     49,                  1.224,                0.83258,                  1.395,                0.83045,                0.63463,                0.82133,                0.42411,                 1.7336,                 1.6085,                 1.6157,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.2668,                0.83918,                 1.4582,                0.81254,                0.70524,                0.83998,                0.47914,                 1.6582,                 1.3167,                 1.5348,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.2166,                0.88344,                 1.5446,                0.93445,                      1,                  0.995,                0.56448,                 1.5204,                0.95469,                 1.4777,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.2478,                 1.1158,                 1.4854,                0.94773,                0.95508,                  0.995,                0.55652,                 1.5578,                0.98778,                 1.5394,             0.00072164,             0.00072164,             0.00072164
                     53,                0.96002,                0.71352,                 1.3272,                0.94773,                0.95508,                  0.995,                0.55652,                 1.5578,                0.98778,                 1.5394,              0.0007075,              0.0007075,              0.0007075
                     54,                 2.1466,                 1.3121,                 2.2003,                0.97506,                0.94045,                  0.995,                0.58737,                 1.4593,                0.91525,                 1.4934,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.4858,                0.90954,                 1.5512,                0.91286,                0.99723,                0.98738,                 0.5842,                 1.4759,                0.86373,                 1.5021,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.4836,                 1.2149,                 1.8776,                0.92956,                      1,                0.97929,                0.56043,                 1.5002,                0.93957,                 1.5967,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.1534,                0.78596,                  1.462,                0.92956,                      1,                0.97929,                0.56043,                 1.5002,                0.93957,                 1.5967,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.2129,                0.79903,                 1.3537,                0.91763,                      1,                0.98738,                0.56583,                 1.5132,                 0.9145,                  1.606,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.0886,                0.78345,                 1.3551,                0.96178,                0.99922,                  0.995,                  0.611,                 1.4268,                0.81878,                 1.4875,             0.00062262,             0.00062262,             0.00062262
