                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95435,                 0.5171,                0.93783,                0.96653,                0.97222,                0.99119,                0.75774,                0.94541,                0.50818,                0.91955,               0.000948,               0.000948,               0.000948
                     36,                0.99753,                0.50085,                0.93797,                0.96631,                0.97222,                0.99119,                0.74499,                 1.0008,                0.55391,                0.93825,             0.00093385,             0.00093385,             0.00093385
                     37,                0.97581,                 0.4993,                0.95687,                 0.9669,                0.97222,                0.99119,                0.78256,                0.94013,                0.52459,                0.91929,              0.0009197,              0.0009197,              0.0009197
                     38,                0.92117,                0.49312,                0.92735,                0.95624,                0.97414,                  0.995,                0.79567,                0.93687,                0.52031,                 0.9154,             0.00090556,             0.00090556,             0.00090556
                     39,                0.92013,                0.48177,                0.91825,                0.94719,                0.97222,                0.99295,                0.77856,                0.92138,                0.52821,                0.92462,             0.00089141,             0.00089141,             0.00089141
                     40,                 0.9194,                0.48371,                0.92987,                 0.9566,                0.97222,                0.99119,                0.77189,                0.90471,                0.50941,                0.91992,             0.00087726,             0.00087726,             0.00087726
                     41,                0.90436,                0.47207,                0.93175,                0.96374,                0.97222,                0.99295,                0.75751,                0.97093,                0.52301,                0.94072,             0.00086312,             0.00086312,             0.00086312
                     42,                0.92946,                 0.4801,                0.92454,                0.96596,                0.97388,                  0.995,                0.75728,                 1.0004,                 0.5272,                0.95011,             0.00084897,             0.00084897,             0.00084897
                     43,                0.95173,                0.49655,                0.96967,                0.96111,                0.97422,                  0.995,                0.73466,                0.98943,                0.53512,                0.93628,             0.00083482,             0.00083482,             0.00083482
                     44,                0.94009,                0.48715,                0.93089,                0.96418,                  0.974,                  0.995,                0.73578,                0.98189,                0.52691,                 0.9529,             0.00082067,             0.00082067,             0.00082067
                     45,                0.88778,                0.46384,                0.90929,                0.96893,                0.97402,                  0.995,                 0.7416,                0.95498,                 0.5296,                0.94438,             0.00080653,             0.00080653,             0.00080653
                     46,                0.85369,                0.46113,                0.91634,                 0.9632,                0.97222,                0.99295,                0.73983,                0.96737,                0.52995,                0.94035,             0.00079238,             0.00079238,             0.00079238
                     47,                0.89272,                0.46153,                0.92753,                0.95907,                0.97222,                0.98967,                0.75042,                0.96411,                 0.5439,                 0.9439,             0.00077823,             0.00077823,             0.00077823
                     48,                0.89713,                0.46009,                0.90826,                0.95867,                0.97222,                0.98967,                0.75151,                0.92552,                0.52495,                0.93056,             0.00076409,             0.00076409,             0.00076409
                     49,                0.85725,                0.44164,                0.90722,                 0.9587,                0.97222,                0.98119,                0.75027,                0.88596,                0.47173,                0.91712,             0.00074994,             0.00074994,             0.00074994
                     50,                0.84726,                0.45088,                0.91646,                0.95427,                0.97156,                0.96417,                0.74106,                0.90086,                0.50371,                0.92102,             0.00073579,             0.00073579,             0.00073579
                     51,                0.86305,                0.44873,                0.89299,                0.96515,                0.97222,                0.97167,                0.75634,                0.92561,                0.49546,                0.93675,             0.00072164,             0.00072164,             0.00072164
                     52,                0.81591,                0.44251,                 0.8847,                0.96378,                0.97222,                0.98833,                0.77768,                0.93371,                0.47195,                0.93319,              0.0007075,              0.0007075,              0.0007075
                     53,                0.84929,                0.45077,                0.90214,                0.96744,                0.97222,                0.99295,                0.77578,                0.93878,                0.45766,                0.92737,             0.00069335,             0.00069335,             0.00069335
                     54,                0.84027,                0.43363,                0.89572,                0.97542,                0.97436,                  0.995,                 0.7654,                0.97715,                0.45462,                0.93753,              0.0006792,              0.0006792,              0.0006792
                     55,                0.82673,                0.43393,                0.88315,                0.98399,                0.97298,                  0.995,                0.75132,                 1.0155,                0.49353,                0.95072,             0.00066506,             0.00066506,             0.00066506
                     56,                0.81596,                0.44011,                0.86877,                0.98632,                0.97318,                  0.995,                0.75919,                0.96821,                0.47908,                0.94347,             0.00065091,             0.00065091,             0.00065091
                     57,                0.80477,                0.42622,                0.88142,                0.98284,                0.97334,                  0.995,                0.76024,                0.96546,                 0.4626,                0.94353,             0.00063676,             0.00063676,             0.00063676
                     58,                0.81134,                 0.4311,                0.88778,                0.96641,                0.97363,                  0.995,                0.75305,                0.95101,                0.46351,                0.93716,             0.00062262,             0.00062262,             0.00062262
                     59,                0.83147,                0.42684,                0.88876,                0.96098,                0.97222,                0.99295,                0.75463,                 0.9317,                0.49088,                0.93444,             0.00060847,             0.00060847,             0.00060847
                     60,                  0.828,                0.42526,                0.89869,                0.96227,                0.97222,                0.99119,                 0.7548,                0.98519,                 0.4871,                0.94423,             0.00059432,             0.00059432,             0.00059432
                     61,                0.81517,                0.41399,                 0.8966,                0.96275,                0.97222,                0.99295,                0.76523,                0.98996,                0.46571,                0.95277,             0.00058017,             0.00058017,             0.00058017
                     62,                0.80134,                 0.4267,                0.88945,                0.96356,                0.97222,                0.98833,                0.75453,                0.95893,                0.46958,                0.94779,             0.00056603,             0.00056603,             0.00056603
                     63,                0.81535,                0.42258,                0.90074,                0.97556,                0.97222,                0.99295,                0.77101,                0.93522,                0.44393,                0.92037,             0.00055188,             0.00055188,             0.00055188
                     64,                0.78277,                0.40063,                0.88852,                 0.9735,                0.97222,                0.98833,                0.77684,                0.94622,                0.45049,                0.91736,             0.00053773,             0.00053773,             0.00053773
                     65,                0.76042,                0.39965,                0.87822,                0.97634,                0.97109,                0.98611,                0.78918,                0.94342,                0.45562,                0.92015,             0.00052359,             0.00052359,             0.00052359
                     66,                 0.7708,                0.39933,                0.88568,                0.97617,                0.97222,                0.98518,                0.79147,                0.92013,                  0.462,                0.91382,             0.00050944,             0.00050944,             0.00050944
                     67,                0.77653,                0.41266,                0.89043,                0.96803,                0.97222,                0.98716,                0.79193,                0.87899,                0.44784,                0.90352,             0.00049529,             0.00049529,             0.00049529
                     68,                0.72887,                0.38879,                0.88934,                0.96693,                0.97222,                0.98518,                0.77922,                0.85517,                0.43388,                0.90252,             0.00048114,             0.00048114,             0.00048114
                     69,                0.74318,                 0.4051,                0.86981,                0.97017,                0.97222,                0.98518,                0.78748,                0.85754,                0.43746,                 0.9116,               0.000467,               0.000467,               0.000467
                     70,                0.76965,                0.40844,                0.88626,                 0.9641,                0.97222,                0.98288,                0.77407,                0.87562,                 0.4281,                0.92765,             0.00045285,             0.00045285,             0.00045285
                     71,                0.71057,                0.38782,                0.86368,                0.96264,                0.97222,                0.98113,                0.76409,                0.88364,                0.45993,                0.93385,              0.0004387,              0.0004387,              0.0004387
                     72,                0.72134,                0.38242,                0.85538,                0.96281,                0.97222,                0.97976,                0.77046,                0.87119,                0.46824,                0.92889,             0.00042456,             0.00042456,             0.00042456
                     73,                0.75618,                0.39211,                0.86944,                0.96323,                0.97222,                  0.979,                0.77191,                0.85133,                0.45932,                0.92176,             0.00041041,             0.00041041,             0.00041041
                     74,                0.75637,                0.39644,                 0.8787,                0.96392,                0.97222,                0.97116,                0.76179,                0.87147,                0.44826,                 0.9187,             0.00039626,             0.00039626,             0.00039626
                     75,                0.78178,                0.39708,                0.88276,                0.96233,                0.97222,                0.96769,                0.76489,                0.85236,                0.45144,                0.90416,             0.00038211,             0.00038211,             0.00038211
                     76,                0.73429,                0.37774,                0.86155,                0.96105,                0.97222,                0.96769,                0.76524,                0.87102,                0.45622,                0.90807,             0.00036797,             0.00036797,             0.00036797
                     77,                0.71245,                 0.3772,                0.86791,                 0.9609,                0.97222,                0.96814,                0.76302,                0.87968,                0.45274,                0.91075,             0.00035382,             0.00035382,             0.00035382
                     78,                0.71335,                 0.3766,                0.88762,                0.96085,                0.97222,                0.96769,                0.76805,                0.85224,                0.45493,                0.90766,             0.00033967,             0.00033967,             0.00033967
                     79,                0.67941,                0.37936,                0.85582,                0.96214,                0.97222,                 0.9617,                0.76513,                0.84899,                0.43691,                0.90518,             0.00032553,             0.00032553,             0.00032553
                     80,                0.72124,                0.38136,                0.87979,                0.96292,                0.97222,                0.96717,                0.77031,                0.83528,                0.42965,                0.90265,             0.00031138,             0.00031138,             0.00031138
                     81,                0.71959,                0.37792,                0.87378,                  0.963,                0.97222,                0.96943,                0.77952,                0.83286,                0.43863,                0.90244,             0.00029723,             0.00029723,             0.00029723
                     82,                 0.6389,                0.36394,                0.86189,                0.96284,                0.97222,                0.96993,                0.79112,                0.82902,                0.42414,                0.90418,             0.00028308,             0.00028308,             0.00028308
                     83,                0.68492,                0.36272,                0.88792,                0.96235,                0.97222,                0.98225,                0.78868,                0.84316,                0.42749,                0.91521,             0.00026894,             0.00026894,             0.00026894
                     84,                0.65346,                0.35481,                 0.8487,                 0.9626,                0.97222,                0.98357,                 0.7905,                0.85966,                0.42698,                0.92263,             0.00025479,             0.00025479,             0.00025479
