                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0082,                0.51099,                 0.9597,                0.98807,                      1,                  0.995,                  0.739,                 1.0683,                 0.4634,                0.99988,               0.000948,               0.000948,               0.000948
                     36,                0.79551,                0.57891,                0.80411,                0.98721,                      1,                  0.995,                0.74315,                 1.0729,                0.45993,                 1.0021,             0.00093385,             0.00093385,             0.00093385
                     37,                0.92796,                0.47492,                0.93032,                0.99035,                      1,                  0.995,                0.72011,                 1.1308,                0.45594,                 1.0214,              0.0009197,              0.0009197,              0.0009197
                     38,                0.99916,                0.49705,                0.96755,                 0.9915,                      1,                  0.995,                0.70224,                 1.1592,                0.46652,                 1.0354,             0.00090556,             0.00090556,             0.00090556
                     39,                0.97479,                0.48151,                0.92199,                0.98729,                      1,                  0.995,                0.72059,                  1.071,                0.46729,                 1.0083,             0.00089141,             0.00089141,             0.00089141
                     40,                0.91752,                0.47885,                 0.9317,                0.98462,                      1,                  0.995,                0.72842,                 1.0813,                0.46676,                 1.0082,             0.00087726,             0.00087726,             0.00087726
                     41,                0.88644,                0.45365,                0.92177,                0.98918,                      1,                  0.995,                0.74737,                 1.0482,                0.46864,                0.99267,             0.00086312,             0.00086312,             0.00086312
                     42,                0.94256,                0.49104,                 0.9216,                0.99139,                      1,                  0.995,                0.75827,                 1.0427,                0.45089,                0.99084,             0.00084897,             0.00084897,             0.00084897
                     43,                0.92764,                0.49471,                0.94207,                0.98856,                      1,                  0.995,                0.73973,                  1.041,                0.43983,                 1.0145,             0.00083482,             0.00083482,             0.00083482
                     44,                0.91745,                 0.4724,                0.92631,                0.98909,                      1,                  0.995,                0.74694,                 1.0313,                0.43439,                 1.0152,             0.00082067,             0.00082067,             0.00082067
                     45,                  0.867,                0.44771,                0.92996,                0.96854,                      1,                  0.995,                0.75941,                 1.0063,                 0.4423,                 1.0041,             0.00080653,             0.00080653,             0.00080653
                     46,                0.92532,                0.47635,                0.93718,                0.96375,                 0.9821,                0.99189,                0.74573,                 1.0013,                0.48144,                 1.0003,             0.00079238,             0.00079238,             0.00079238
                     47,                  0.926,                 0.4535,                0.90743,                0.95982,                0.98039,                0.99169,                0.74272,                 1.0107,                0.50816,                   1.03,             0.00077823,             0.00077823,             0.00077823
                     48,                0.87702,                0.45423,                0.92859,                0.95196,                0.98039,                 0.9925,                0.73563,                 1.0008,                0.53009,                 1.0245,             0.00076409,             0.00076409,             0.00076409
                     49,                0.86555,                0.46751,                0.91908,                0.87648,                 0.9745,                0.98337,                0.74519,                 1.0114,                0.62573,                  1.006,             0.00074994,             0.00074994,             0.00074994
                     50,                0.86717,                0.44947,                0.91926,                0.94778,                0.90449,                0.98356,                0.73589,                 1.0294,                0.61093,                  1.005,             0.00073579,             0.00073579,             0.00073579
                     51,                0.86671,                0.44822,                 0.9264,                0.98437,                 0.9639,                0.98356,                0.72062,                 1.0597,                0.53007,                 1.0152,             0.00072164,             0.00072164,             0.00072164
                     52,                0.85846,                0.45078,                0.91855,                0.98937,                0.98039,                0.99065,                0.72862,                 1.0763,                0.51164,                 1.0178,              0.0007075,              0.0007075,              0.0007075
                     53,                0.80241,                0.41208,                0.88774,                0.98236,                0.98142,                  0.995,                0.73261,                 1.0468,                0.48934,                 1.0113,             0.00069335,             0.00069335,             0.00069335
                     54,                0.87239,                0.44137,                0.93476,                0.97127,                0.98179,                  0.995,                0.76664,                 1.0332,                 0.4652,                0.99859,              0.0006792,              0.0006792,              0.0006792
                     55,                0.85653,                0.42867,                0.88899,                0.96906,                0.98182,                  0.995,                0.74311,                 1.0382,                0.45915,                 1.0021,             0.00066506,             0.00066506,             0.00066506
                     56,                0.84888,                0.44593,                  0.932,                0.97274,                0.98039,                0.99325,                0.74168,                 1.0429,                0.46758,                 1.0051,             0.00065091,             0.00065091,             0.00065091
